epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.8332,1.34755,3.30011,1.69933,0.01032,1,0.40257,0.26257,0.71177,3.83821,1.21911,0.00025,0.00025,0.00025
2,59.5011,1.24333,2.37442,1.59182,0.97072,0.31661,0.65536,0.46454,0.81442,2.93889,1.26088,0.000507426,0.000507426,0.000507426
3,83.8368,1.28599,2.2718,1.58875,0.44512,0.62989,0.71839,0.29406,1.65725,3.04962,2.25138,0.000759655,0.000759655,0.000759655
4,109.465,1.3701,2.18754,1.65228,0.59927,0.61727,0.70351,0.4816,0.99902,2.7948,1.45167,0.00100669,0.00100669,0.00100669
5,140.056,1.23146,1.83643,1.52634,0.55486,0.59058,0.61408,0.37508,1.04866,2.94206,1.50663,0.0012005,0.0012005,0.0012005
6,167.075,1.24052,1.66551,1.49782,0.63364,0.428,0.43401,0.21716,1.78699,3.50858,2.30168,0.00118812,0.00118812,0.00118812
7,194.528,1.27518,1.64336,1.53238,0.73297,0.58371,0.61376,0.30006,1.63477,6.0419,2.28648,0.00117575,0.00117575,0.00117575
8,223.393,1.33389,1.6901,1.57217,0.53937,0.64349,0.6729,0.40177,1.20084,4.84737,1.61826,0.00116337,0.00116337,0.00116337
9,250.382,1.19295,1.46472,1.45387,0.86885,0.78901,0.91727,0.71889,0.80324,1.89437,1.23014,0.001151,0.001151,0.001151
10,277.947,1.18599,1.42535,1.44584,0.68152,0.78595,0.77268,0.53671,0.91181,2.35954,1.28492,0.00113863,0.00113863,0.00113863
11,309.631,1.21761,1.34941,1.46033,0.91752,0.62548,0.74705,0.41097,1.27053,1.95187,1.71382,0.00112625,0.00112625,0.00112625
12,340.723,1.10987,1.24252,1.39138,0.81745,0.74905,0.7746,0.60342,0.71264,1.391,1.15757,0.00111388,0.00111388,0.00111388
13,372.847,1.24591,1.2738,1.47347,0.74526,0.71401,0.74953,0.53823,0.90502,1.41854,1.29813,0.0011015,0.0011015,0.0011015
14,404.308,1.11697,1.18557,1.36786,0.83882,0.66098,0.66628,0.49469,0.86851,1.45523,1.31321,0.00108913,0.00108913,0.00108913
15,435.992,1.15715,1.18203,1.41028,0.76834,0.78303,0.80598,0.59051,0.87256,1.49727,1.39672,0.00107675,0.00107675,0.00107675
16,467.362,1.13672,1.10257,1.39445,0.74173,0.82659,0.83135,0.64742,0.84045,1.23725,1.26965,0.00106437,0.00106437,0.00106437
17,502.979,1.11921,1.1161,1.39885,0.82133,0.57526,0.62423,0.47003,0.91512,1.33272,1.27136,0.001052,0.001052,0.001052
18,537.394,1.02124,1.0562,1.32552,0.93895,0.65645,0.70466,0.54877,0.83256,1.03139,1.20753,0.00103962,0.00103962,0.00103962
19,572.849,1.0476,1.02112,1.32636,0.95554,0.81374,0.87019,0.64585,0.99766,1.02284,1.36487,0.00102725,0.00102725,0.00102725
20,610.442,1.16778,1.06871,1.42454,0.71704,0.66547,0.65015,0.47505,0.9658,1.13408,1.2788,0.00101488,0.00101488,0.00101488
21,646.526,1.12713,1.05619,1.38986,0.9592,0.94531,0.96468,0.71601,0.98744,0.91433,1.2773,0.0010025,0.0010025,0.0010025
22,685.075,1.02252,0.95375,1.31288,0.85394,0.49869,0.50594,0.41357,0.77124,0.85957,1.15024,0.000990125,0.000990125,0.000990125
23,724.642,1.00469,0.94418,1.30859,0.91063,0.53693,0.5375,0.35416,1.0215,0.8486,1.30566,0.00097775,0.00097775,0.00097775
24,761.605,1.01267,0.93074,1.33585,0.94161,0.66215,0.71481,0.46962,1.10491,1.09744,1.47381,0.000965375,0.000965375,0.000965375
25,799.729,1.0438,0.93121,1.33107,0.9526,0.94949,0.95214,0.80544,0.70207,0.83334,1.12538,0.000953,0.000953,0.000953
26,837.29,0.99007,0.88622,1.29759,0.93747,0.78047,0.83655,0.6462,1.04582,0.90946,1.3873,0.000940625,0.000940625,0.000940625
27,874.493,0.98976,0.86479,1.29197,0.94238,0.75205,0.75828,0.58295,0.97338,0.77627,1.36792,0.00092825,0.00092825,0.00092825
28,911.202,0.92756,0.80423,1.26526,0.92122,0.53346,0.57465,0.43535,0.87365,0.85111,1.2193,0.000915875,0.000915875,0.000915875
29,945.504,0.93363,0.80214,1.26231,0.95434,0.92882,0.95695,0.81561,0.68127,0.6961,1.1187,0.0009035,0.0009035,0.0009035
30,978.34,0.95675,0.82864,1.28092,0.95687,0.95771,0.97089,0.77423,0.89211,0.70951,1.25089,0.000891125,0.000891125,0.000891125
31,1014.04,0.94847,0.81339,1.26706,0.94262,0.7376,0.74406,0.62657,0.63317,0.64069,1.09503,0.00087875,0.00087875,0.00087875
32,1045.78,0.97337,0.83931,1.31125,0.94869,0.92876,0.94919,0.82431,0.59642,0.70251,1.05246,0.000866375,0.000866375,0.000866375
33,1075.63,0.94686,0.82966,1.26584,0.90976,0.95266,0.95856,0.827,0.61707,0.62377,1.05686,0.000854,0.000854,0.000854
34,1105.69,0.89263,0.74378,1.24121,0.96526,0.94512,0.96795,0.79235,0.7257,0.66575,1.14285,0.000841625,0.000841625,0.000841625
35,1136.69,0.89228,0.73617,1.25266,0.88993,0.92535,0.93214,0.76234,0.77453,0.91269,1.12085,0.00082925,0.00082925,0.00082925
36,1168.95,0.87521,0.77082,1.21565,0.96678,0.9364,0.9621,0.78395,0.72095,0.60241,1.12019,0.000816875,0.000816875,0.000816875
37,1199.82,0.82453,0.6548,1.19372,0.91232,0.96547,0.96708,0.83201,0.62525,0.58175,1.04818,0.0008045,0.0008045,0.0008045
38,1229.76,0.94472,0.75868,1.26227,0.84071,0.95843,0.95729,0.7993,0.67053,0.68106,1.06484,0.000792125,0.000792125,0.000792125
39,1259.03,0.93518,0.75172,1.26059,0.96364,0.94804,0.97169,0.83851,0.58203,0.60861,1.04035,0.00077975,0.00077975,0.00077975
40,1288.63,0.90699,0.71919,1.25375,0.95287,0.94891,0.96485,0.82549,0.58535,0.6037,1.05626,0.000767375,0.000767375,0.000767375
41,1317.81,0.93111,0.71523,1.27063,0.91334,0.945,0.96206,0.79627,0.71371,0.65339,1.08285,0.000755,0.000755,0.000755
42,1347.26,0.85682,0.66954,1.21778,0.95371,0.97222,0.96118,0.83333,0.60603,0.58784,1.0343,0.000742625,0.000742625,0.000742625
43,1376.45,0.85338,0.66324,1.22001,0.95289,0.96792,0.97472,0.85516,0.60128,0.53698,1.04566,0.00073025,0.00073025,0.00073025
44,1406.12,0.85436,0.69635,1.22163,0.97709,0.97222,0.97149,0.82813,0.69394,0.5445,1.07326,0.000717875,0.000717875,0.000717875
45,1435.65,0.82859,0.65098,1.19068,0.96476,0.95856,0.97034,0.72787,0.90909,0.6336,1.24451,0.0007055,0.0007055,0.0007055
46,1465.46,0.81102,0.62123,1.19316,0.91472,0.95569,0.96956,0.82083,0.59431,0.66492,1.00228,0.000693125,0.000693125,0.000693125
47,1494.92,0.80232,0.64323,1.19835,0.97617,0.95382,0.96382,0.84047,0.53707,0.52215,1.01106,0.00068075,0.00068075,0.00068075
48,1524.41,0.81279,0.64245,1.17799,0.97013,0.96344,0.96206,0.82908,0.58464,0.52127,0.99305,0.000668375,0.000668375,0.000668375
49,1553.99,0.87878,0.66626,1.25069,0.96871,0.96817,0.96382,0.8466,0.58331,0.48672,1.00865,0.000656,0.000656,0.000656
50,1583.48,0.80295,0.65257,1.1976,0.97127,0.96724,0.96662,0.88289,0.44875,0.47589,0.94702,0.000643625,0.000643625,0.000643625
51,1613.35,0.77518,0.63691,1.16688,0.94852,0.95735,0.97738,0.87369,0.53047,0.52909,0.98066,0.00063125,0.00063125,0.00063125
