epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.544,0.43747,2.05658,0.91074,0.92304,0.44117,0.81247,0.7094,0.36432,2.48204,0.86201,0.000364262,0.000364262,0.000364262
2,192.237,0.4019,1.05354,0.88624,0.67215,0.88405,0.91243,0.78225,0.54655,1.77736,0.96089,0.000720051,0.000720051,0.000720051
3,279.525,0.38047,0.93343,0.86335,0.80957,0.81774,0.89936,0.66943,0.74,1.62513,1.18106,0.00106117,0.00106117,0.00106117
4,370.269,0.39503,0.81664,0.87227,0.6754,0.82537,0.81727,0.67932,0.69049,1.60969,1.0737,0.00104501,0.00104501,0.00104501
5,446.085,0.36993,0.7088,0.86538,0.90636,0.98407,0.9915,0.8686,0.48717,0.77423,0.91639,0.00102301,0.00102301,0.00102301
6,523.28,0.3486,0.62301,0.86328,0.97725,0.94705,0.995,0.89376,0.42456,0.73331,0.92068,0.00100101,0.00100101,0.00100101
7,606.902,0.32871,0.55955,0.85197,0.96139,0.55333,0.549,0.50185,0.34352,0.52019,0.85626,0.000979013,0.000979013,0.000979013
8,692.22,0.31141,0.49022,0.84859,0.92883,0.71285,0.709,0.65779,0.36459,0.76592,0.87591,0.000957015,0.000957015,0.000957015
9,778.443,0.29519,0.44343,0.84,0.96227,0.52476,0.521,0.44221,0.54723,0.62946,0.99976,0.000935018,0.000935018,0.000935018
10,864.637,0.28997,0.43198,0.84261,0.94426,0.59936,0.629,0.56831,0.35105,0.55347,0.87123,0.00091302,0.00091302,0.00091302
11,950.396,0.28451,0.40005,0.84039,0.9196,0.4961,0.493,0.43162,0.3472,0.39175,0.85565,0.000891022,0.000891022,0.000891022
12,1034.61,0.27626,0.37094,0.83735,0.97274,1,0.995,0.93068,0.35204,0.38736,0.8708,0.000869024,0.000869024,0.000869024
13,1117,0.26792,0.35122,0.82773,0.96762,1,0.995,0.9503,0.32277,0.38405,0.85321,0.000847026,0.000847026,0.000847026
14,1202.9,0.267,0.35367,0.83769,0.96752,0.84,0.835,0.79104,0.30723,0.32836,0.85183,0.000825029,0.000825029,0.000825029
15,1284.93,0.25275,0.33539,0.83527,0.985,0.99749,0.995,0.93484,0.32865,0.36342,0.85104,0.000803031,0.000803031,0.000803031
16,1367.65,0.24029,0.31356,0.82514,0.98601,1,0.995,0.93159,0.29877,0.33279,0.84749,0.000781033,0.000781033,0.000781033
17,1452.31,0.24646,0.29928,0.83485,0.98701,1,0.995,0.95414,0.32229,0.31515,0.85796,0.000759035,0.000759035,0.000759035
18,1542.69,0.23087,0.29274,0.8284,0.98392,1,0.995,0.94344,0.27952,0.27724,0.8326,0.000737037,0.000737037,0.000737037
19,1651.18,0.23449,0.28662,0.83299,0.98485,1,0.995,0.96397,0.26115,0.26592,0.82648,0.00071504,0.00071504,0.00071504
20,1759.54,0.22058,0.27155,0.83263,0.98997,1,0.995,0.93057,0.26856,0.28738,0.82465,0.000693042,0.000693042,0.000693042
